location,location_type,temp_c,heat_index_c,hour_of_day,exceedance_duration,safe_duration_minutes
Dubai Marina,open_street,39.0,42.5,16,0,14
Dubai Marina,open_street,38.0,41.5,10,1,13
Dubai Marina,open_street,38.5,42.0,17,0,15
Dubai Marina,open_street,37.0,40.5,20,4,8
Dubai Marina,open_street,39.0,42.5,12,0,14
Dubai Marina,open_street,37.5,41.0,9,1,13
Dubai Marina,open_street,36.0,39.5,6,4,8
Dubai Marina,open_street,39.0,42.5,16,4,8
Dubai Marina,open_street,39.5,43.0,13,4,8
Dubai Marina,open_street,37.5,41.0,19,0,15
Dubai Marina,open_street,37.0,40.5,8,3,10
Dubai Marina,open_street,37.0,40.5,8,1,14
Dubai Marina,open_street,38.5,42.0,11,0,14
Dubai Marina,open_street,36.5,40.0,7,2,12
Dubai Marina,open_street,39.5,43.0,15,2,12
Dubai Marina,open_street,38.5,42.0,17,3,10
Dubai Marina,open_street,37.0,40.5,20,3,10
Dubai Marina,open_street,38.0,41.5,10,4,9
Dubai Marina,open_street,38.5,42.0,11,4,8
Dubai Marina,open_street,36.5,40.0,7,0,15
Dubai Marina,open_street,38.0,41.5,18,2,12
Dubai Marina,open_street,37.5,41.0,19,1,13
Dubai Marina,open_street,39.0,42.5,12,2,11
Dubai Marina,open_street,37.5,41.0,19,2,11
Dubai Marina,open_street,38.5,42.0,11,1,13
Dubai Marina,open_street,38.5,42.0,17,0,15
Dubai Marina,open_street,37.0,40.5,8,4,9
Dubai Marina,open_street,37.0,40.5,8,3,10
Dubai Marina,open_street,37.0,40.5,20,4,8
Dubai Marina,open_street,38.5,42.0,11,0,14
Dubai Marina,open_street,36.0,39.5,6,2,11
Dubai Marina,open_street,36.5,40.0,7,1,14
Dubai Marina,open_street,39.5,43.0,15,2,11
Dubai Marina,open_street,39.5,43.0,13,3,10
Dubai Marina,open_street,39.0,42.5,16,3,10
Dubai Marina,open_street,37.0,40.5,8,1,13
Dubai Marina,open_street,40.0,43.5,14,2,12
Dubai Marina,open_street,39.0,42.5,12,4,8
Dubai Marina,open_street,37.5,41.0,9,1,13
Dubai Marina,open_street,36.5,40.0,7,0,15
Dubai Marina,open_street,37.0,40.5,8,1,13
Dubai Marina,open_street,39.0,42.5,12,4,8
Dubai Marina,open_street,39.0,42.5,12,4,9
Dubai Marina,open_street,40.0,43.5,14,2,12
Dubai Marina,open_street,37.5,41.0,19,0,15
Dubai Marina,open_street,36.5,40.0,7,4,9
Dubai Marina,open_street,38.0,41.5,18,2,11
Dubai Marina,open_street,39.0,42.5,12,1,13
Dubai Marina,open_street,38.5,42.0,17,2,12
Dubai Marina,open_street,38.0,41.5,18,1,13
Dubai Marina,open_street,36.5,40.0,7,2,12
Dubai Marina,open_street,40.0,43.5,14,4,8
Dubai Marina,open_street,38.5,42.0,11,1,13
Dubai Marina,open_street,38.0,41.5,18,4,9
Dubai Marina,open_street,39.5,43.0,15,2,11
Dubai Marina,open_street,36.5,40.0,7,2,12
Dubai Marina,open_street,37.5,41.0,19,2,11
Dubai Marina,open_street,37.5,41.0,9,4,9
Dubai Marina,open_street,36.5,40.0,7,3,10
Dubai Marina,open_street,38.0,41.5,18,4,9
Dubai Marina,open_street,37.0,40.5,8,3,10
Dubai Marina,open_street,37.0,40.5,8,2,12
Dubai Marina,open_street,39.5,43.0,15,3,10
Dubai Marina,open_street,37.0,40.5,20,4,9
Dubai Marina,open_street,38.5,42.0,17,1,13
Dubai Marina,open_street,39.0,42.5,12,2,11
Dubai Marina,open_street,40.0,43.5,14,3,10
Dubai Marina,open_street,37.5,41.0,9,0,14
Dubai Marina,open_street,39.5,43.0,15,4,8
Dubai Marina,open_street,37.5,41.0,9,0,14
Dubai Marina,open_street,39.0,42.5,16,0,14
Dubai Marina,open_street,37.0,40.5,20,0,15
Dubai Marina,open_street,36.5,40.0,7,4,8
Dubai Marina,open_street,39.0,42.5,16,3,10
Dubai Marina,open_street,37.0,40.5,8,4,9
Dubai Marina,open_street,37.5,41.0,9,3,10
Dubai Marina,open_street,37.5,41.0,9,0,14
Dubai Marina,open_street,39.0,42.5,12,2,11
Dubai Marina,open_street,39.5,43.0,13,0,15
Dubai Marina,open_street,39.0,42.5,16,0,14
Dubai Marina,open_street,38.5,42.0,17,2,12
Dubai Marina,open_street,36.5,40.0,7,1,13
Dubai Marina,open_street,40.0,43.5,14,3,10
Dubai Marina,open_street,37.0,40.5,8,2,11
